Feature,Importance
WDMDGDIF_1,0.56283
FSCDVHF2_0,0.28421
LBFDGWSS_2,0.04546
DHHDGHSZ_1,0.04225
FSCDVHF2_3,0.03432
DHHGAGE_3,0.01341
INCDGHH_5,0.00796
FSCDVHF2_2,0.00703
LBFDGWSS_6,0.00158
DHHDGHSZ_2,0.00094
DHHGAGE_4,0.0
GEOGPRV_10,0.0
DHHGAGE_5,0.0
DHHGAGE_2,0.0
GEOGPRV_11,0.0
GEOGPRV_59,0.0
GEOGPRV_12,0.0
GEOGPRV_13,0.0
GEOGPRV_24,0.0
GEOGPRV_35,0.0
GEOGPRV_46,0.0
GEOGPRV_47,0.0
GEOGPRV_48,0.0
INCDGHH_3,0.0
INCDGHH_2,0.0
INCDGHH_1,0.0
SDCDVFLA_2,0.0
SDCDVFLA_1,0.0
SDCDGIMM_2,0.0
SDCDGIMM_1,0.0
INCDGHH_4,0.0
FSCDVHF2_1,0.0
EDDVH3_3,0.0
EDDVH3_1,0.0
EDDVH3_2,0.0
LBFDGWSS_1,0.0
WDMDGDIF_2,0.0
CCCDGSKL_1,0.0
CCCDGSKL_2,0.0
