Feature,Importance
WDMDGDIF_1,0.2381
FSCDVHF2_0,0.22998
WDMDGDIF_2,0.22391
LBFDGWSS_2,0.0335
FSCDVHF2_3,0.0306
LBFDGWSS_6,0.02679
DHHDGHSZ_2,0.02481
DHHDGHSZ_1,0.02354
GEOGPRV_24,0.02038
DHHGAGE_5,0.01436
DHHGAGE_3,0.01375
FSCDVHF2_1,0.01293
DHHGAGE_2,0.0113
CCCDGSKL_1,0.01067
INCDGHH_5,0.01027
GEOGPRV_35,0.00845
GEOGPRV_59,0.00751
GEOGPRV_10,0.00723
INCDGHH_2,0.00523
EDDVH3_1,0.00498
INCDGHH_1,0.00465
CCCDGSKL_2,0.00425
DHHGAGE_4,0.00395
SDCDVFLA_2,0.00391
GEOGPRV_48,0.00332
SDCDGIMM_2,0.00316
SDCDGIMM_1,0.003
GEOGPRV_13,0.00255
GEOGPRV_11,0.00238
GEOGPRV_47,0.00197
EDDVH3_3,0.00188
INCDGHH_4,0.00177
GEOGPRV_46,0.00168
FSCDVHF2_2,0.00124
SDCDVFLA_1,0.00121
INCDGHH_3,0.00054
LBFDGWSS_1,0.00014
EDDVH3_2,8e-05
GEOGPRV_12,5e-05
