,DHHGAGE,DHHDGHSZ,GEOGPRV,SDCDGIMM,SDCDVFLA,INCDGHH,EDDVH3,FSCDVHF2,LBFDGWSS,WDMDGDIF,CCCDGSKL
DHHGAGE,1.0,0.268,0.05,0.08,0.224,0.192,0.205,0.082,0.724,0.237,0.423
DHHDGHSZ,0.268,1.0,0.089,0.062,0.099,0.412,0.255,0.051,0.223,0.103,0.132
GEOGPRV,0.05,0.089,1.0,0.206,0.174,0.058,0.075,0.044,0.052,0.078,0.059
SDCDGIMM,0.08,0.062,0.206,1.0,0.641,0.041,0.1,0.049,0.04,0.07,0.077
SDCDVFLA,0.224,0.099,0.174,0.641,1.0,0.081,0.123,0.08,0.175,0.107,0.147
INCDGHH,0.192,0.412,0.058,0.041,0.081,1.0,0.272,0.106,0.276,0.166,0.185
EDDVH3,0.205,0.255,0.075,0.1,0.123,0.272,1.0,0.042,0.201,0.124,0.153
FSCDVHF2,0.082,0.051,0.044,0.049,0.08,0.106,0.042,1.0,0.11,0.134,0.025
LBFDGWSS,0.724,0.223,0.052,0.04,0.175,0.276,0.201,0.11,1.0,0.237,0.377
WDMDGDIF,0.237,0.103,0.078,0.07,0.107,0.166,0.124,0.134,0.237,1.0,0.296
CCCDGSKL,0.423,0.132,0.059,0.077,0.147,0.185,0.153,0.025,0.377,0.296,1.0
