Feature,Coefficient,Odds Ratio,Absolute Coefficient
FSCDVHF2_3,0.8319,2.2977,0.8319
FSCDVHF2_0,-0.6923,0.5004,0.6923
WDMDGDIF_2,0.6053,1.8318,0.6053
WDMDGDIF_1,-0.5325,0.5871,0.5325
LBFDGWSS_2,0.3378,1.4019,0.3378
GEOGPRV_59,0.3177,1.3739,0.3177
DHHDGHSZ_1,0.2855,1.3304,0.2855
DHHGAGE_2,0.2743,1.3155,0.2743
GEOGPRV_35,0.2694,1.3092,0.2694
DHHGAGE_5,-0.2664,0.7661,0.2664
LBFDGWSS_6,-0.2664,0.7661,0.2664
FSCDVHF2_1,-0.2556,0.7744,0.2556
GEOGPRV_10,-0.245,0.7827,0.245
DHHGAGE_3,0.2406,1.2721,0.2406
INCDGHH_1,0.2161,1.2412,0.2161
DHHDGHSZ_2,-0.2127,0.8084,0.2127
CCCDGSKL_1,0.1962,1.2167,0.1962
GEOGPRV_47,-0.194,0.8237,0.194
FSCDVHF2_2,0.1888,1.2079,0.1888
DHHGAGE_4,-0.1757,0.8389,0.1757
GEOGPRV_24,-0.1713,0.8426,0.1713
INCDGHH_5,-0.1565,0.8551,0.1565
SDCDVFLA_2,0.1545,1.1671,0.1545
CCCDGSKL_2,-0.1234,0.8839,0.1234
EDDVH3_1,-0.1207,0.8863,0.1207
INCDGHH_2,0.1161,1.1231,0.1161
EDDVH3_3,0.1143,1.121,0.1143
INCDGHH_3,-0.0853,0.9182,0.0853
GEOGPRV_11,-0.0853,0.9182,0.0853
SDCDVFLA_1,-0.0817,0.9216,0.0817
EDDVH3_2,0.0792,1.0825,0.0792
GEOGPRV_12,0.078,1.0811,0.078
GEOGPRV_48,0.0668,1.0691,0.0668
GEOGPRV_46,0.0602,1.0621,0.0602
SDCDGIMM_2,0.046,1.0471,0.046
SDCDGIMM_1,0.0268,1.0272,0.0268
GEOGPRV_13,-0.0238,0.9765,0.0238
INCDGHH_4,-0.0175,0.9826,0.0175
LBFDGWSS_1,0.0014,1.0014,0.0014
