Variable,Category,Reference Category,Encoded Feature,Coefficient,Odds Ratio,Absolute Coefficient
FSCDVHF2,3,0,FSCDVHF2_3,1.5271,4.605,1.5271
WDMDGDIF,2,1,WDMDGDIF_2,1.139,3.1235,1.139
FSCDVHF2,2,0,FSCDVHF2_2,0.876,2.4013,0.876
GEOGPRV,59,10,GEOGPRV_59,0.5341,1.706,0.5341
DHHDGHSZ,2,1,DHHDGHSZ_2,-0.5004,0.6063,0.5004
GEOGPRV,35,10,GEOGPRV_35,0.4851,1.6244,0.4851
DHHGAGE,4,2,DHHGAGE_4,-0.4493,0.6381,0.4493
FSCDVHF2,1,0,FSCDVHF2_1,0.4331,1.5421,0.4331
LBFDGWSS,6,1,LBFDGWSS_6,-0.403,0.6683,0.403
DHHGAGE,5,2,DHHGAGE_5,-0.403,0.6683,0.403
INCDGHH,5,1,INCDGHH_5,-0.3678,0.6922,0.3678
LBFDGWSS,2,1,LBFDGWSS_2,0.3402,1.4052,0.3402
CCCDGSKL,2,1,CCCDGSKL_2,-0.3186,0.7272,0.3186
INCDGHH,3,1,INCDGHH_3,-0.2973,0.7429,0.2973
GEOGPRV,12,10,GEOGPRV_12,0.2942,1.342,0.2942
GEOGPRV,48,10,GEOGPRV_48,0.2845,1.3291,0.2845
GEOGPRV,46,10,GEOGPRV_46,0.278,1.3204,0.278
SDCDVFLA,2,1,SDCDVFLA_2,0.235,1.2649,0.235
EDDVH3,3,1,EDDVH3_3,0.2324,1.2617,0.2324
INCDGHH,4,1,INCDGHH_4,-0.2292,0.7952,0.2292
EDDVH3,2,1,EDDVH3_2,0.1959,1.2164,0.1959
GEOGPRV,13,10,GEOGPRV_13,0.194,1.2141,0.194
INCDGHH,2,1,INCDGHH_2,-0.0959,0.9085,0.0959
GEOGPRV,24,10,GEOGPRV_24,0.0443,1.0453,0.0443
DHHGAGE,3,2,DHHGAGE_3,-0.031,0.9694,0.031
GEOGPRV,47,10,GEOGPRV_47,0.0173,1.0175,0.0173
SDCDGIMM,2,1,SDCDGIMM_2,0.0164,1.0165,0.0164
GEOGPRV,11,10,GEOGPRV_11,0.0137,1.0138,0.0137
