Variable,Category,Count,Percentage
DHHGAGE,2,8208,15.62
DHHGAGE,3,10397,19.79
DHHGAGE,4,13573,25.83
DHHGAGE,5,20365,38.76
DHHDGHSZ,1,20434,38.89
DHHDGHSZ,2,32109,61.11
GEOGPRV,10,1474,2.81
GEOGPRV,11,278,0.53
GEOGPRV,12,2025,3.85
GEOGPRV,13,1901,3.62
GEOGPRV,24,10846,20.64
GEOGPRV,35,17301,32.93
GEOGPRV,46,2304,4.38
GEOGPRV,47,1750,3.33
GEOGPRV,48,6982,13.29
GEOGPRV,59,7682,14.62
SDCDGIMM,1,42642,81.16
SDCDGIMM,2,9901,18.84
SDCDVFLA,1,6725,12.8
SDCDVFLA,2,45818,87.2
INCDGHH,1,1506,2.87
INCDGHH,2,6825,12.99
INCDGHH,3,7819,14.88
INCDGHH,4,6929,13.19
INCDGHH,5,29464,56.08
EDDVH3,1,3683,7.01
EDDVH3,2,9706,18.47
EDDVH3,3,39154,74.52
FSCDVHF2,0,45083,85.8
FSCDVHF2,1,2140,4.07
FSCDVHF2,2,3388,6.45
FSCDVHF2,3,1932,3.68
LBFDGWSS,1,24836,47.27
LBFDGWSS,2,7342,13.97
LBFDGWSS,6,20365,38.76
WDMDGDIF,1,26850,51.1
WDMDGDIF,2,25693,48.9
CCCDGSKL,1,16248,30.92
CCCDGSKL,2,36295,69.08
