Feature,Importance
WDMDGDIF_1,0.21434
WDMDGDIF_2,0.20635
FSCDVHF2_0,0.14631
FSCDVHF2_3,0.10877
FSCDVHF2_2,0.03884
LBFDGWSS_2,0.03208
DHHDGHSZ_2,0.02896
DHHDGHSZ_1,0.0279
LBFDGWSS_6,0.02724
DHHGAGE_5,0.02264
INCDGHH_5,0.01792
GEOGPRV_24,0.01722
CCCDGSKL_2,0.0114
CCCDGSKL_1,0.01124
INCDGHH_1,0.00986
LBFDGWSS_1,0.00812
DHHGAGE_3,0.00798
DHHGAGE_2,0.00768
DHHGAGE_4,0.00737
GEOGPRV_35,0.00673
FSCDVHF2_1,0.00497
INCDGHH_2,0.00462
GEOGPRV_59,0.00433
EDDVH3_3,0.0033
INCDGHH_4,0.00281
SDCDGIMM_2,0.00272
SDCDVFLA_1,0.00254
GEOGPRV_48,0.00242
SDCDGIMM_1,0.00242
EDDVH3_2,0.00224
SDCDVFLA_2,0.00219
EDDVH3_1,0.00187
INCDGHH_3,0.00169
GEOGPRV_10,0.00119
GEOGPRV_13,0.0007
GEOGPRV_47,0.00039
GEOGPRV_46,0.00031
GEOGPRV_12,0.00031
GEOGPRV_11,0.0
